Handle,Title,Type,Tags,Vendor,Published,Variant Price,Image Src,Variant SKU
100-anos-tequila-blanco,100 Anos Tequila Blanco 750ml,Tequila,"tequila, blanco",100 Anos,TRUE,59.99,https://www.liquorstore-online.com/product_images/p_146684.webp,1475698*
123-organic-tequila-anejo-3,123 Organic Anejo Tequila,Tequila,"tequila, anejo",123 Tequila,TRUE,141.99,https://www.liquorstore-online.com/product_images/p_216455.webp,56c289dc756275139df60000
123-tequila-extra-anejo-diablito-organic,123 Tequila Extra Anejo Diablito Organic 750ml,Tequila,"tequila, extra-anejo",123 Tequila,TRUE,232.99,https://www.liquorstore-online.com/product_images/p_150067.webp,2011440*
123-organic-tequila-blanco-1,123 Organic Tequila Blanco #1,Tequila,"tequila, blanco",1,TRUE,131.99,https://www.liquorstore-online.com/product_images/p_216456.webp,56b9539975627567fe000000
123-organic-tequila-reposado-2,123 Organic Tequila Reposado #2,Tequila,"tequila, reposado",123 Tequila,TRUE,138.99,https://www.liquorstore-online.com/product_images/p_216458.webp,56b9539b75627567fe010000
123-tequila-anejo-organic-tres,123 Tequila Anejo Organic Tres 750ml,Tequila,"tequila, anejo",123 Tequila,TRUE,103.79,https://www.liquorstore-online.com/product_images/p_146116.webp,1827112*
123-tequila-blanco-organic-uno,123 Tequila Blanco Organic Uno 750ml,Tequila,"tequila, blanco",123 Tequila,TRUE,81.39,https://www.liquorstore-online.com/product_images/p_150334.webp,1827111*
123-tequila-reposado-organic-dos,123 Tequila Reposado Organic Dos 750ml,Tequila,"tequila, reposado",123 Tequila,TRUE,95.39,https://www.liquorstore-online.com/product_images/p_146711.webp,1834311*
1800-silver-tequila-70cl-38-abv,1800 - Silver Tequila 70cl 38% ABV,Tequila,"tequila, blanco",1800,TRUE,137.99,https://www.liquorstore-online.com/product_images/p_139648.webp,12279
1800-silver-tequila-70cl-38-abv-includes-branded-glass,1800 - Silver Tequila 70cl 38% ABV (Includes Branded Glass),Tequila,"tequila, blanco",1800,TRUE,174.99,https://www.liquorstore-online.com/product_images/p_179997.webp,16275
1800-coconut-infused-tequila-5cl-35-abv-miniature,1800 - Coconut Infused Tequila 5cl 35% ABV Miniature,Tequila,tequila,1800,TRUE,99.99,https://www.liquorstore-online.com/product_images/p_248401.webp,20628
1800-coconut-infused-tequila-5cl-x-10-35-abv-miniatures-10-x-5cl,1800 - Coconut Infused Tequila 5cl x 10 35% ABV Miniatures- (10 x 5cl),Tequila,tequila,1800,TRUE,143.99,https://www.liquorstore-online.com/product_images/p_248434.webp,23484
1800-coconut-infused-tequila-70cl-35-abv,1800 - Coconut Infused Tequila 70cl 35% ABV,Tequila,tequila,1800,TRUE,178.99,https://www.liquorstore-online.com/product_images/p_139753.webp,13152
1800-coconut-infused-tequila-70cl-35-abv-includes-branded-glass,1800 - Coconut Infused Tequila 70cl 35% ABV (Includes Branded Glass),Tequila,tequila,1800,TRUE,178.99,https://www.liquorstore-online.com/product_images/p_179876.webp,16274
1800-cristalino-anejo-tequila-70cl-35-abv,1800 - Cristalino Anejo Tequila 70cl 35% ABV,Tequila,"tequila, anejo",1800,TRUE,200.99,https://www.liquorstore-online.com/product_images/p_135901.webp,12277
1800-cristalino-anejo-tequila-70cl-35-abv-includes-branded-glasses,1800 - Cristalino Anejo Tequila 70cl 35% ABV (Includes Branded Glasses),Tequila,"tequila, anejo",1800,TRUE,201.99,https://www.liquorstore-online.com/product_images/p_248635.webp,23645
1800-daniel-cordas-limited-edition-silver-tequila-70cl-38-abv,1800 - Daniel Cordas Limited Edition Silver Tequila 70cl 38% ABV,Tequila,"tequila, blanco",1800,TRUE,175.99,https://www.liquorstore-online.com/product_images/p_167049.webp,15329
