Handle,Published
buzzballz-tequila-rita-cocktail-20cl-x-24-13-5-abv-24-x-20cl,FALSE
casa-del-sol-tequila-blanco-750ml,FALSE
casamigos-jalapeno-tequila-1-75l,FALSE
casamigos-jalapeno-tequila-1l,FALSE
casamigos-tequila-jalapeno-blanco-1l,FALSE
cascahuin-anejo-tequila-70cl-40-abv,FALSE
cenote-tequila-reposado-750ml,FALSE
chi-chis-original-margarita-ready-to-drink-cocktail-ready-to-drink-cocktail-1-75l,FALSE
don-julio-tequila-reposado-500ml,FALSE
dulce-vida-lime-tequila-600ml,FALSE
espolon-blanco-tequila-70cl-40-abv,FALSE
fortaleza-reposado-2025-winter-blend-tequila,FALSE
gran-centenario-cristalino-tequila-750ml,FALSE
gran-centenario-plata-tequila-1-75l,FALSE
gran-centenario-reposado-tequila-1-75l,FALSE
hermosa-organic-anejo-tequila-750ml,FALSE
hornitos-cristalino-reserve-750ml,FALSE
hussongs-reposado-tequila-750ml,FALSE
junglee-tamarind-margarita-355ml,FALSE
lobos-1707-tequila-anejo-700ml,FALSE
mijenta-reposado-100-agave-tequila-70cl-40-abv-glass-pack,FALSE
milagro-anejo-tequila-375ml,FALSE
milagro-reposado-tequila-200ml,FALSE
pedro-morales-gold-tequila-1-75l,FALSE
tequila-rose-original-strawberry-cream-tequila-70cl-15-abv-includes-shot-paddle-glasses,FALSE
teremana-blanco-tequila-600ml,FALSE
teremana-reposado-tequila-600ml,FALSE
